My age is:,I've worked in design for:,I make:,My job is great because:,My skills include:,I am:,I work in:,I typically work:
57,20+ years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|I'm in the position to scale my business|I have no problem acquiring new client work|I have a manageable workload,Art direction|Business development|Facilitation|Leadership|Public speaking,Extremely satisfied with my work situation,Communication / Graphic design|Education|Experience design|Strategy|Other,51 - 60 hours
65,20+ years,"$75,000 to $99,999",My role is valued|I respect the people I work with,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Other","Not really satisfied, but I deal",Communication / Graphic design|Education,Less than 40 hours
40,15 - 20 years,"$100,000 to $149,999",I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction",Extremely satisfied with my work situation,Communication / Graphic design|Illustration|Motion graphics,40 hours
55,20+ years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems|I'm paid what I'm worth,Art direction|Data visualization|Facilitation|Leadership|Research,Extremely satisfied with my work situation,Communication / Graphic design|Education|Research|Social impact design,40 hours
33,10 - 14 years,"$35,000 to $49,999",I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Business development|Copywriting|Data visualization|Drawing / Painting|Research,"Happy, but there's room for improvement",Communication / Graphic design,41 - 50 hours
0,1 - 4 years,"$100,000 to $149,999",There's room to grow in my role|I'm paid what I'm worth|I have a manageable workload,Copywriting|SEO / Social Media|Writing (published articles)|Other,"Not really satisfied, but I deal",Other,40 hours
54,20+ years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work,Art direction|Business development|Leadership|Project management|SEO / Social Media,"Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Packaging design|UX design,51 - 60 hours
40,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work,Art direction|Copywriting|Project management|SEO / Social Media|Other,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Packaging design|Other,40 hours
38,10 - 14 years,"$50,000 to $74,999",The standard of work is pretty high|Benefits are sufficient (and maybe some perks on the side),Business development|Data visualization|Leadership|Project management|Research,Ready to call it quits,Communication / Graphic design,40 hours
32,5 - 9 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Research|UI design|UX design","Happy, but there's room for improvement",Experience design|Interaction design|UI design|UX design,41 - 50 hours
29,5 - 9 years,"$35,000 to $49,999",Benefits are sufficient (and maybe some perks on the side),SEO / Social Media|UI design|UX design,Ready to call it quits,Communication / Graphic design|Illustration|UI design|UX design,40 hours
47,Less than 1 year,"Less than $25,000",N/A,Research|Other,"Not really satisfied, but I deal",Other,Less than 40 hours
26,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Copywriting|Drawing / Painting|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Education|Environmental design,40 hours
33,10 - 14 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems,Art direction|Copywriting|Leadership|Project management|Public speaking,"Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Experience design,41 - 50 hours
47,10 - 14 years,"$35,000 to $49,999",The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I have a manageable workload,Other,"Happy, but there's room for improvement",Communication / Graphic design,Less than 40 hours
50,10 - 14 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|There's flexibility over where and when I work,Art direction|Copywriting|Photography,"Not really satisfied, but I deal",Communication / Graphic design,Less than 40 hours
30,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I'm solving worthwhile problems|I'm in the position to scale my business,Art direction|Coding|Facilitation|Project management|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Interaction design|Service design|Social impact design|Strategy,41 - 50 hours
53,20+ years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions,Copywriting|Drawing / Painting|Photography,"Happy, but there's room for improvement",Communication / Graphic design|Illustration,Less than 40 hours
35,5 - 9 years,"Less than $25,000",I feel creatively satisfied|The standard of work is pretty high|I'm solving worthwhile problems,Facilitation|Research|Writing (published articles),"Happy, but there's room for improvement",Experience design|Interaction design|UX design,61 + hours
36,1 - 4 years,"$35,000 to $49,999",The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Copywriting|Photography|Project management|Research|Other,"Not really satisfied, but I deal",Communication / Graphic design|Packaging design,40 hours
22,5 - 9 years,"Less than $25,000",My role is valued|I respect the people I work with|There's flexibility over where and when I work|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Data visualization|Drawing / Painting|Photography|Writing (published articles)",Ready to call it quits,Communication / Graphic design|Illustration,Less than 40 hours
45,20+ years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|I respect the people I work with,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Mentoring",Extremely satisfied with my work situation,Communication / Graphic design|Education,40 hours
32,10 - 14 years,"$35,000 to $49,999",There's flexibility over where and when I work,Business operations|Drawing / Painting|Project management|Research|SEO / Social Media,Ready to call it quits,Education|Research|Service design|Other,41 - 50 hours
22,5 - 9 years,"Less than $25,000",N/A,Data visualization|Drawing / Painting|Film / Video|Photography|Research,"Not really satisfied, but I deal",Communication / Graphic design|Experience design|Illustration|Social impact design|Strategy,Less than 40 hours
47,15 - 20 years,"$150,000 to $199,999",I have the opportunity to learn new skills|My role is valued|The standard of work is pretty high|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Data visualization|Leadership|Mentoring|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Illustration|Packaging design|Strategy,40 hours
54,20+ years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied,Art direction|Business operations|Drawing / Painting|Project management|Public speaking,"Not really satisfied, but I deal",Communication / Graphic design|Experience design|Illustration|Strategy,61 + hours
41,10 - 14 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|The standard of work is pretty high|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Data visualization,"Not really satisfied, but I deal",Communication / Graphic design|Strategy,40 hours
18,5 - 9 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I'm in the position to scale my business|I have no problem acquiring new client work|I have a manageable workload,Data analysis|Drawing / Painting|Leadership|Photography|Project management,Extremely satisfied with my work situation,Other,Less than 40 hours
28,5 - 9 years,"$100,000 to $149,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I'm paid what I'm worth,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Coding|Project management|UX design","Not really satisfied, but I deal",Communication / Graphic design|Interaction design|Motion graphics|Strategy|UX design,51 - 60 hours
40,15 - 20 years,"Less than $25,000",N/A,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Drawing / Painting|Film / Video|Photography|UX design",Ready to call it quits,Communication / Graphic design|UX design,Less than 40 hours
22,1 - 4 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I have a manageable workload,Coding|Copywriting|Drawing / Painting|Leadership|Mentoring,"Happy, but there's room for improvement",Animation|Communication / Graphic design|Illustration|Interaction design|Motion graphics,Less than 40 hours
19,1 - 4 years,"Less than $25,000",N/A,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Drawing / Painting|Film / Video|Photography",Not sure,Animation|Communication / Graphic design|Other,Less than 40 hours
33,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Film / Video|Mentoring|Photography","Happy, but there's room for improvement",Communication / Graphic design|Motion graphics|Other,40 hours
26,1 - 4 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I feel creatively satisfied|I have no problem acquiring new client work,Art direction|Copywriting|Data analysis|Data visualization|Photography,"Happy, but there's room for improvement",Communication / Graphic design,40 hours
37,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|There's flexibility over where and when I work|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Film / Video","Happy, but there's room for improvement",Animation|Education,Less than 40 hours
24,1 - 4 years,"$50,000 to $74,999",I have the opportunity to learn new skills|There's room to grow in my role|I respect the people I work with|I'm solving worthwhile problems|Benefits are sufficient (and maybe some perks on the side),Art direction|Coding|Mentoring|Photography,"Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Experience design|Social impact design,41 - 50 hours
39,10 - 14 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|Other,Art direction|Data visualization|Mentoring|Project management|Other,Extremely satisfied with my work situation,Communication / Graphic design|Education|Illustration|Social impact design|Other,41 - 50 hours
44,10 - 14 years,"$200,000+",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I'm in the position to scale my business,Art direction|Coding|Data analysis|UI design|Writing (published articles),"Happy, but there's room for improvement",Communication / Graphic design|Strategy|UI design|UX design,40 hours
27,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|There's room to grow in my role|My role is valued|I respect the people I work with,Data analysis|Drawing / Painting|Facilitation|Project management,"Not really satisfied, but I deal",Communication / Graphic design|Packaging design|Strategy,41 - 50 hours
27,1 - 4 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I respect the people I work with|There's flexibility over where and when I work,Copywriting|Data visualization|Film / Video|Leadership|Photography,"Happy, but there's room for improvement",Animation|Communication / Graphic design|Illustration|Motion graphics,Less than 40 hours
22,1 - 4 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I have a manageable workload,Coding|Data visualization|Drawing / Painting,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Motion graphics|Strategy,Less than 40 hours
27,5 - 9 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Business development|Research|SEO / Social Media,"Happy, but there's room for improvement",Communication / Graphic design|Packaging design,40 hours
29,1 - 4 years,"$35,000 to $49,999",I have the opportunity to learn new skills|My role is valued|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Coding","Happy, but there's room for improvement",Animation|Communication / Graphic design|Motion graphics|Packaging design,40 hours
35,10 - 14 years,"$35,000 to $49,999",I have the opportunity to learn new skills|There's room to grow in my role|Benefits are sufficient (and maybe some perks on the side),"3D / Animation software (Rhino, After Effects, Unity, etc.)|Drawing / Painting|Film / Video|Mentoring","Happy, but there's room for improvement",Animation|Communication / Graphic design|Education|Illustration|Motion graphics,40 hours
24,Less than 1 year,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I'm solving worthwhile problems|There's flexibility over where and when I work|I have no problem acquiring new client work,Art direction|Coding|Copywriting|Project management,Extremely satisfied with my work situation,Communication / Graphic design,40 hours
27,5 - 9 years,"$35,000 to $49,999",I have the opportunity to learn new skills|There's room to grow in my role|There's flexibility over where and when I work|I have no problem acquiring new client work,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Leadership|Project management|UX design","Happy, but there's room for improvement",Animation|Communication / Graphic design|Motion graphics|UI design|UX design,41 - 50 hours
47,20+ years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,Art direction|Drawing / Painting|Film / Video|Leadership|Mentoring,"Happy, but there's room for improvement",Communication / Graphic design|Education|Environmental design|Experience design|Packaging design,40 hours
42,15 - 20 years,"$150,000 to $199,999",I have the opportunity to learn new skills|The standard of work is pretty high|I'm paid what I'm worth,Art direction|Photography|Research|UI design|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Interaction design|Research|UI design|UX design,41 - 50 hours
41,10 - 14 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I respect the people I work with,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Copywriting|Photography|UX design","Happy, but there's room for improvement",Communication / Graphic design|Experience design|Motion graphics|Packaging design|UX design,40 hours
37,10 - 14 years,"$35,000 to $49,999",N/A,Art direction|Business development|Data visualization|Leadership|UI design,Ready to call it quits,Animation|Communication / Graphic design|Illustration|UI design|UX design,41 - 50 hours
38,15 - 20 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Data visualization|Drawing / Painting|Mentoring,"Happy, but there's room for improvement",Communication / Graphic design|Research|Strategy,41 - 50 hours
42,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I respect the people I work with|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),"3D / Animation software (Rhino, After Effects, Unity, etc.)|Copywriting|Drawing / Painting|Photography|Project management","Happy, but there's room for improvement",Animation|Communication / Graphic design|Strategy,41 - 50 hours
33,10 - 14 years,"$50,000 to $74,999",I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Business operations|Project management|UX design",Ready to call it quits,Communication / Graphic design|Environmental design|Motion graphics|Strategy,41 - 50 hours
28,1 - 4 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Drawing / Painting|Leadership|Project management|Research,"Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Illustration|Packaging design|Other,40 hours
31,5 - 9 years,"$50,000 to $74,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Data visualization|Film / Video|Photography|SEO / Social Media",Extremely satisfied with my work situation,Communication / Graphic design|Motion graphics,41 - 50 hours
35,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Copywriting|Data visualization|Photography|Writing (published articles),"Happy, but there's room for improvement",Communication / Graphic design,40 hours
37,10 - 14 years,"$25,000 to $34,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work|I have a manageable workload,Art direction|Coding|Other,"Happy, but there's room for improvement",Communication / Graphic design,51 - 60 hours
43,10 - 14 years,"$75,000 to $99,999",My role is valued|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I have a manageable workload,Art direction|Facilitation|Photography|Project management|UX design,"Happy, but there's room for improvement",Communication / Graphic design,40 hours
36,15 - 20 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|I'm solving worthwhile problems|Benefits are sufficient (and maybe some perks on the side),Art direction|Data visualization|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Environmental design,40 hours
32,5 - 9 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems,Art direction|Drawing / Painting|Leadership,"Happy, but there's room for improvement",Communication / Graphic design|Packaging design|Other,41 - 50 hours
28,5 - 9 years,"$50,000 to $74,999",I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,Coding|Photography|SEO / Social Media|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Illustration|UI design|UX design,40 hours
31,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I respect the people I work with|I'm solving worthwhile problems|Benefits are sufficient (and maybe some perks on the side),Art direction|Copywriting|Drawing / Painting|Mentoring|Project management,"Not really satisfied, but I deal",Communication / Graphic design|Education|Illustration,41 - 50 hours
29,5 - 9 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|I'm paid what I'm worth,Copywriting|Facilitation|Project management|Research|UX design,"Happy, but there's room for improvement",Research|Service design|Social impact design|Strategy|UX design,40 hours
26,5 - 9 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|There's flexibility over where and when I work|I'm paid what I'm worth|I'm in the position to scale my business|I have no problem acquiring new client work|I have a manageable workload,Art direction|Business development|Copywriting,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Packaging design,Less than 40 hours
54,20+ years,"$35,000 to $49,999",There's flexibility over where and when I work|I have a manageable workload,Art direction|Project management|Other,"Not really satisfied, but I deal",Communication / Graphic design,Less than 40 hours
39,10 - 14 years,"$200,000+",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Coding|Facilitation|Mentoring|UI design|UX design,Extremely satisfied with my work situation,Experience design|Interaction design|UI design|UX design,40 hours
25,1 - 4 years,"$25,000 to $34,999",I have the opportunity to learn new skills|I respect the people I work with|There's flexibility over where and when I work,Art direction|Film / Video|Leadership|Photography|Research,"Not really satisfied, but I deal",Communication / Graphic design|Education|Service design|Social impact design|Strategy,41 - 50 hours
45,20+ years,"$50,000 to $74,999",I have the opportunity to learn new skills|There's flexibility over where and when I work,Art direction,"Not really satisfied, but I deal",Packaging design,40 hours
27,1 - 4 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Facilitation|Leadership|Project management|UI design,Extremely satisfied with my work situation,Communication / Graphic design,40 hours
38,10 - 14 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems,Art direction|Leadership|Mentoring|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Social impact design|Strategy|UI design|UX design,41 - 50 hours
34,5 - 9 years,"$50,000 to $74,999",My role is valued|I respect the people I work with|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Project management|Research|UI design,"Not really satisfied, but I deal",Communication / Graphic design|Environmental design,40 hours
40,1 - 4 years,"Less than $25,000",My role is valued|Other,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Drawing / Painting|Photography|Other",Not sure,Illustration,Less than 40 hours
23,Less than 1 year,"Less than $25,000",N/A,Art direction|Copywriting|Leadership|Photography|Research,"Not really satisfied, but I deal",Communication / Graphic design|Illustration|UI design,Less than 40 hours
41,Less than 1 year,"Less than $25,000",I have the opportunity to learn new skills|There's flexibility over where and when I work,Copywriting|Drawing / Painting|Photography|Other,"Not really satisfied, but I deal",Other,Less than 40 hours
46,15 - 20 years,"$25,000 to $34,999",I have a lot of autonomy and  freedom to make decisions|There's flexibility over where and when I work,Art direction|Copywriting|Leadership|Mentoring|Project management,"Happy, but there's room for improvement",Other,41 - 50 hours
24,1 - 4 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I feel creatively satisfied,Art direction|Copywriting|Drawing / Painting|Photography|Research,"Happy, but there's room for improvement",Communication / Graphic design|UI design,Less than 40 hours
28,1 - 4 years,"$100,000 to $149,999",There's room to grow in my role|My role is valued|There's flexibility over where and when I work|I'm paid what I'm worth,Art direction|Drawing / Painting|Project management|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|UI design|UX design,40 hours
25,1 - 4 years,"$25,000 to $34,999",I have a lot of autonomy and  freedom to make decisions|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with,Business development|Leadership|Project management|Writing (published articles),"Happy, but there's room for improvement",Communication / Graphic design|Education,Less than 40 hours
36,20+ years,"$200,000+",I have a lot of autonomy and  freedom to make decisions|There's room to grow in my role|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|I'm in the position to scale my business,Art direction|Drawing / Painting|Leadership|Mentoring|Public speaking,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Packaging design|Strategy|Other,61 + hours
47,15 - 20 years,"$25,000 to $34,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I feel creatively satisfied|The standard of work is pretty high|There's flexibility over where and when I work|I'm paid what I'm worth|I have no problem acquiring new client work,Art direction|Copywriting|Drawing / Painting|Film / Video|Public speaking,"Happy, but there's room for improvement",Communication / Graphic design|Illustration,Less than 40 hours
22,Less than 1 year,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|There's room to grow in my role|My role is valued|I respect the people I work with|I have no problem acquiring new client work|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Drawing / Painting|Photography|Project management","Happy, but there's room for improvement",Communication / Graphic design|Social impact design,Less than 40 hours
26,1 - 4 years,"$50,000 to $74,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with,Art direction|UI design,Extremely satisfied with my work situation,Communication / Graphic design|UI design,41 - 50 hours
38,10 - 14 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Leadership|Mentoring|UI design|UX design,"Happy, but there's room for improvement",Experience design|Interaction design|UI design|UX design,Less than 40 hours
38,10 - 14 years,"$50,000 to $74,999",My role is valued|Benefits are sufficient (and maybe some perks on the side),Drawing / Painting|Other,"Not really satisfied, but I deal",Communication / Graphic design|Illustration,41 - 50 hours
48,20+ years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I feel creatively satisfied|The standard of work is pretty high|I'm solving worthwhile problems|There's flexibility over where and when I work,Art direction|Drawing / Painting|Photography,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Packaging design,Less than 40 hours
64,20+ years,"$35,000 to $49,999",I have the opportunity to learn new skills|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,Art direction|Coding|Drawing / Painting|Photography|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|UI design,Less than 40 hours
31,1 - 4 years,"$100,000 to $149,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm paid what I'm worth|I have a manageable workload,Data analysis|Drawing / Painting|Facilitation|Project management|Research,"Happy, but there's room for improvement",Experience design|Research|Strategy,40 hours
37,1 - 4 years,"$100,000 to $149,999",There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Leadership|Mentoring|UI design|UX design,"Not really satisfied, but I deal",UX design,40 hours
46,20+ years,"Less than $25,000",I have the opportunity to learn new skills|I feel creatively satisfied|There's flexibility over where and when I work,Drawing / Painting,"Happy, but there's room for improvement",Communication / Graphic design|Illustration,41 - 50 hours
23,Less than 1 year,"$35,000 to $49,999",My role is valued|I respect the people I work with|Benefits are sufficient (and maybe some perks on the side),"3D / Animation software (Rhino, After Effects, Unity, etc.)|Data visualization|Drawing / Painting","Not really satisfied, but I deal",Communication / Graphic design,41 - 50 hours
29,5 - 9 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|There's flexibility over where and when I work|I'm paid what I'm worth|I'm in the position to scale my business|I have no problem acquiring new client work,Art direction|Copywriting|Project management|SEO / Social Media|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Packaging design|Strategy,41 - 50 hours
24,Less than 1 year,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|My role is valued|I feel creatively satisfied|I respect the people I work with|There's flexibility over where and when I work|I have a manageable workload,SEO / Social Media|Writing (published articles),"Happy, but there's room for improvement",Communication / Graphic design,Less than 40 hours
